V_bus_V,I_bus_A,I_bone_A,V_bone_P_V,V_3v3_V,V_bone_N_V,I_bus_model_A,err_pct
2.380,1.062806689e-04,-5.848328591e-05,2.379396,2.379315,1.794563,1.563688427e-04,47.12821
2.400,1.128529404e-04,-6.479885610e-05,2.399358,2.399276,1.751369,1.563988490e-04,38.58642
2.420,1.194394945e-04,-7.112871425e-05,2.419319,2.419237,1.708032,1.564288552e-04,30.96912
2.440,1.222650551e-04,-7.369738847e-05,2.439303,2.439220,1.702329,1.564588614e-04,27.96695
2.460,1.231279435e-04,-7.430328880e-05,2.459298,2.459215,1.716265,1.564888677e-04,27.09452
2.480,1.239908322e-04,-7.490919028e-05,2.479293,2.479210,1.730201,1.565188739e-04,26.23423
2.500,1.248537190e-04,-7.551508666e-05,2.499288,2.499204,1.744137,1.565488802e-04,25.38584
2.520,1.256862076e-04,-7.612098859e-05,2.519283,2.519199,1.758073,1.565788864e-04,24.57921
2.540,1.265186971e-04,-7.672689020e-05,2.539278,2.539194,1.772009,1.566088926e-04,23.78320
2.560,1.273511844e-04,-7.733279041e-05,2.559273,2.559188,1.785946,1.566388989e-04,22.99760
2.580,1.281836715e-04,-7.793868963e-05,2.579269,2.579183,1.799882,1.566689051e-04,22.22220
2.600,1.290161593e-04,-7.854459136e-05,2.599264,2.599178,1.813818,1.566989114e-04,21.45681
2.620,1.298486479e-04,-7.915049271e-05,2.619259,2.619173,1.827754,1.567289176e-04,20.70123
2.640,1.306811377e-04,-7.975639308e-05,2.639254,2.639167,1.841690,1.567589239e-04,19.95528
2.660,1.315136250e-04,-8.036229409e-05,2.659249,2.659162,1.855626,1.567889301e-04,19.21877
2.680,1.323461131e-04,-8.096819432e-05,2.679244,2.679157,1.869562,1.568189363e-04,18.49153
2.700,1.331786005e-04,-8.157409555e-05,2.699239,2.699151,1.883498,1.568489426e-04,17.77338
2.720,1.339968450e-04,-8.217999876e-05,2.719234,2.719146,1.897434,1.568789488e-04,17.07660
2.740,1.348145250e-04,-8.278590115e-05,2.739230,2.739141,1.911371,1.569089551e-04,16.38876
2.760,1.356322064e-04,-8.339180376e-05,2.759225,2.759136,1.925307,1.569389613e-04,15.70922
2.780,1.364498879e-04,-8.399770840e-05,2.779220,2.779131,1.939243,1.569689675e-04,15.03781
2.800,1.372675658e-04,-8.460361196e-05,2.799215,2.799125,1.953179,1.569989738e-04,14.37441
2.820,1.380852478e-04,-8.520951259e-05,2.819210,2.819120,1.967115,1.570289800e-04,13.71887
2.840,1.389029294e-04,-8.581541982e-05,2.839205,2.839115,1.981051,1.570589863e-04,13.07104
2.860,1.397206115e-04,-8.642132077e-05,2.859201,2.859110,1.994987,1.570889925e-04,12.43079
2.880,1.405382895e-04,-8.702722490e-05,2.879196,2.879105,2.008924,1.571189987e-04,11.79800
2.900,1.413559684e-04,-8.763312832e-05,2.899191,2.899100,2.022860,1.571490050e-04,11.17253
2.920,1.421736486e-04,-8.823903119e-05,2.919186,2.919094,2.036796,1.571790112e-04,10.55425
2.940,1.429913305e-04,-8.884493496e-05,2.939181,2.939089,2.050732,1.572090175e-04,9.94304
2.960,1.438090093e-04,-8.945083868e-05,2.959177,2.959084,2.064668,1.572390237e-04,9.33879
2.980,1.446266903e-04,-9.005674268e-05,2.979172,2.979079,2.078604,1.572690300e-04,8.74136
3.000,1.454443720e-04,-9.066264670e-05,2.999167,2.999074,2.092541,1.572990362e-04,8.15065
3.020,1.462620531e-04,-9.126855268e-05,3.019162,3.019068,2.106477,1.573290424e-04,7.56655
3.040,1.470797328e-04,-9.187445542e-05,3.039157,3.039063,2.120413,1.573590487e-04,6.98894
3.060,1.478974122e-04,-9.248035558e-05,3.059153,3.059058,2.134349,1.573890549e-04,6.41772
3.080,1.487150938e-04,-9.308626088e-05,3.079148,3.079053,2.148285,1.574190612e-04,5.85278
3.100,1.495327753e-04,-9.369216507e-05,3.099143,3.099048,2.162221,1.574490674e-04,5.29402
3.120,1.503504535e-04,-9.429806883e-05,3.119138,3.119042,2.176157,1.574790736e-04,4.74134
3.140,1.511681350e-04,-9.490397122e-05,3.139133,3.139037,2.190094,1.575090799e-04,4.19463
3.160,1.519858144e-04,-9.550987446e-05,3.159129,3.159032,2.204030,1.575390861e-04,3.65381
3.180,1.528034982e-04,-9.611578008e-05,3.179124,3.179027,2.217966,1.575690924e-04,3.11877
3.200,1.536211776e-04,-9.672168305e-05,3.199119,3.199022,2.231902,1.575990986e-04,2.58944
3.220,1.544388577e-04,-9.732758730e-05,3.219114,3.219017,2.245838,1.576291048e-04,2.06570
3.240,1.552565370e-04,-9.793349116e-05,3.239109,3.239011,2.259774,1.576591111e-04,1.54749
3.260,1.560742201e-04,-9.853939606e-05,3.259104,3.259006,2.273711,1.576891173e-04,1.03470
3.280,1.568918998e-04,-9.914529874e-05,3.279100,3.279001,2.287647,1.577191236e-04,0.52726
3.300,1.577095793e-04,-9.975120248e-05,3.299095,3.298996,2.301583,1.577491298e-04,0.02508
3.320,1.577791402e-04,-9.978162788e-05,3.319094,3.300000,2.321278,1.577791361e-04,-0.00000
3.340,1.578091477e-04,-9.978163194e-05,3.339094,3.300000,2.341278,1.578091423e-04,-0.00000
3.360,1.578391540e-04,-9.978162945e-05,3.359094,3.300000,2.361278,1.578391485e-04,-0.00000
3.380,1.578691652e-04,-9.978163272e-05,3.379094,3.300000,2.381278,1.578691548e-04,-0.00001
3.400,1.578991628e-04,-9.978162965e-05,3.399094,3.300000,2.401277,1.578991610e-04,-0.00000
3.420,1.579291663e-04,-9.978163035e-05,3.419094,3.300000,2.421277,1.579291673e-04,0.00000
3.440,1.579591742e-04,-9.978163417e-05,3.439093,3.300000,2.441277,1.579591735e-04,-0.00000
3.460,1.579891876e-04,-9.978163322e-05,3.459093,3.300000,2.461277,1.579891797e-04,-0.00000
3.480,1.580191886e-04,-9.978163142e-05,3.479093,3.300000,2.481277,1.580191860e-04,-0.00000
3.500,1.580491933e-04,-9.978163222e-05,3.499093,3.300000,2.501277,1.580491922e-04,-0.00000
3.520,1.580792092e-04,-9.978163091e-05,3.519093,3.300000,2.521276,1.580791985e-04,-0.00001
3.540,1.581092016e-04,-9.978163251e-05,3.539093,3.300000,2.541276,1.581092047e-04,0.00000
3.560,1.581392156e-04,-9.978163214e-05,3.559092,3.300000,2.561276,1.581392110e-04,-0.00000
3.580,1.581692191e-04,-9.978162982e-05,3.579092,3.300000,2.581276,1.581692172e-04,-0.00000
3.600,1.581992275e-04,-9.978163243e-05,3.599092,3.300000,2.601276,1.581992234e-04,-0.00000
3.620,1.582292428e-04,-9.978163015e-05,3.619092,3.300000,2.621276,1.582292297e-04,-0.00001
